COUNTRY,YEAR,LIFE_EXPECTANCY
Australia,1990,77.019997
Australia,1991,77.389999
Australia,1992,77.620003
Australia,1993,77.889999
Australia,1994,78.050003
Australia,1995,78.300003
Australia,1996,78.5
Australia,1997,78.800003
Australia,1998,79.110001
Australia,1999,79.400002
Australia,2000,79.709999
Australia,2001,80.019997
Australia,2002,80.239998
Australia,2003,80.540001
Australia,2004,80.809998
Australia,2005,81.089996
Australia,2006,81.269997
Australia,2007,81.43
Australia,2008,81.580002
Australia,2009,81.790001
Australia,2010,81.989998
Australia,2011,82.150002
Australia,2012,82.330002
Australia,2013,82.529999
Australia,2014,82.580002
Australia,2015,82.550003
Australia,2016,82.519997
Brazil,1990,68.410004
Brazil,1991,68.739998
Brazil,1992,68.910004
Brazil,1993,69.129997
Brazil,1994,69.379997
Brazil,1995,69.660004
Brazil,1996,69.959999
Brazil,1997,70.339996
Brazil,1998,70.669998
Brazil,1999,70.980003
Brazil,2000,71.360001
Brazil,2001,71.760002
Brazil,2002,72.059998
Brazil,2003,72.330002
Brazil,2004,72.620003
Brazil,2005,72.93
Brazil,2006,73.199997
Brazil,2007,73.459999
Brazil,2008,73.720001
Brazil,2009,73.940002
Brazil,2010,74.150002
Brazil,2011,74.379997
Brazil,2012,74.639999
Brazil,2013,74.839996
Brazil,2014,75.010002
Brazil,2015,75.139999
Brazil,2016,75.239998
Canada,1990,77.43
Canada,1991,77.610001
Canada,1992,77.760002
Canada,1993,77.82
Canada,1994,77.93
Canada,1995,78.07
Canada,1996,78.309998
Canada,1997,78.57
Canada,1998,78.779999
Canada,1999,79.010002
Canada,2000,79.260002
Canada,2001,79.480003
Canada,2002,79.660004
Canada,2003,79.839996
Canada,2004,80.050003
Canada,2005,80.230003
Canada,2006,80.480003
Canada,2007,80.650002
Canada,2008,80.870003
Canada,2009,81.120003
Canada,2010,81.339996
Canada,2011,81.529999
Canada,2012,81.660004
Canada,2013,81.75
Canada,2014,81.790001
Canada,2015,81.769997
Canada,2016,81.849998
China,1990,66.959999
China,1991,67.230003
China,1992,67.43
China,1993,67.669998
China,1994,67.940002
China,1995,68.290001
China,1996,68.620003
China,1997,68.919998
China,1998,69.25
China,1999,69.610001
China,2000,69.940002
China,2001,70.220001
China,2002,70.519997
China,2003,71.220001
China,2004,71.779999
China,2005,72.260002
China,2006,72.879997
China,2007,73.379997
China,2008,73.599998
China,2009,74.120003
China,2010,74.419998
China,2011,74.870003
China,2012,75.25
China,2013,75.519997
China,2014,75.68
China,2015,76.040001
China,2016,76.360001
France,1990,77.160004
France,1991,77.349998
France,1992,77.57
France,1993,77.739998
France,1994,77.949997
France,1995,78.120003
France,1996,78.330002
France,1997,78.650002
France,1998,78.769997
France,1999,78.919998
France,2000,79.120003
France,2001,79.349998
France,2002,79.589996
France,2003,79.769997
France,2004,80.150002
France,2005,80.400002
France,2006,80.669998
France,2007,80.910004
France,2008,81.080002
France,2009,81.290001
France,2010,81.480003
France,2011,81.709999
France,2012,81.839996
France,2013,82.010002
France,2014,82.220001
France,2015,82.269997
France,2016,82.339996
Germany,1990,75.470001
Germany,1991,75.709999
Germany,1992,76.0
Germany,1993,76.169998
Germany,1994,76.400002
Germany,1995,76.639999
Germany,1996,76.889999
Germany,1997,77.18
Germany,1998,77.449997
Germany,1999,77.730003
Germany,2000,78.019997
Germany,2001,78.300003
Germany,2002,78.519997
Germany,2003,78.720001
Germany,2004,79.019997
Germany,2005,79.25
Germany,2006,79.489998
Germany,2007,79.669998
